Bearing_No,Rotational_Velocity ,Radial_Load,Axial_Load,Dynamic_Load_Rating,Satic_Load_Ratimg,Limitng_speed,Shaft_Diameter,Bearing_outside_Diameter,Bearing_Width,MIN_Deformation,MAX_Deformation,AVG_Deformation,Deformation_On_Ball_MIN,Deformation_On_Ball_MAX,Deformation_On_Ball_AVG,MIN_Stress,MAX_Stress,AVG_Stress,Stress_On_Ball_MIN,Stress_On_Ball_MAX,Stress_On_Ball_AVG,Frictional_Stress_MIN,Frictional_Stress_MAX,Frictional_Stress_AVG,MIN_Pressure,MAX_Pressure,AVG_Pressure,,,
6003,17191.85,-491.48,209.8,6000,3250,26000,17,35,10,1.16E-03,0.45458,0.24148,1.16E-03,0.45458,0.24148,2.89E-02,65.924,4.5983,0.1495,29.324,3.574,0,9.4482,0.42076,0,94.482,4.6313,,,
6003,17516.2,-501.1,213.8,6000,3250,26000,17,35,10,1.59E-03,0.45832,0.24381,1.59E-03,0.45832,0.24381,2.19E-03,67.602,4.343,0.15613,30.424,3.7329,0,9.7083,0.41008,0,97.083,4.336,,,
6003,17840.55,-510.71,217.79,6000,3250,26000,17,35,10,4.44E-05,0.42775,0.20968,4.44E-05,0.42775,0.20968,2.55E-09,57.327,3.6091,0.15364,30.233,3.685,0,8.4753,0.31613,0,84.753,3.5722,,,
6003,18164.9,-520.33,221.79,6000,3250,26000,17,35,10,2.53E-03,0.39493,0.19326,2.53E-03,0.39493,0.19326,1.27E-04,41.83,2.4431,0.14302,28.553,3.4297,0,6.3681,0.21241,0,63.681,2.2998,,,
6003,18489.25,-529.95,225.78,6000,3250,26000,17,35,10,8.94E-04,0.37203,0.17015,8.94E-04,0.37203,0.17015,5.13E-06,34.989,1.8672,0.15247,30.145,3.6734,0,5.858,0.16146,0,58.58,1.7184,,,
6003,18813.6,-539.57,229.78,6000,3250,26000,17,35,10,2.83E-04,0.40448,0.16727,2.83E-04,0.40448,0.16727,1.50E-07,44.268,2.2563,0.15421,30.286,3.6962,0,6.5505,0.19527,0,65.505,2.1221,,,
6003,19137.95,-549.18,233.78,6000,3250,26000,17,35,10,2.94E-04,0.3796,0.15622,2.94E-04,0.3796,0.15622,3.54E-07,33.81,1.2915,0.14645,28.936,3.4965,0,6.2188,0.1105,0,62.188,1.2018,,,
6003,19462.3,-558.8,237.77,6000,3250,26000,17,35,10,1.30E-06,0.37024,0.13955,1.30E-06,0.37024,0.13955,2.32E-11,31.215,0.53039,0.13786,26.668,3.2029,0,5.7371,3.84E-02,0,57.371,0.40495,,,
6003,19786.65,-568.42,241.77,6000,3250,26000,17,35,10,2.79E-10,0.39716,0.10283,2.79E-10,0.39716,0.10283,1.86E-14,37.351,0.63282,0.14972,29.062,3.5451,0,6.519,4.65E-02,0,65.19,0.51549,,,
6003,20111,-578.03,245.76,6000,3250,26000,17,35,10,1.28E-09,0.37436,8.53E-02,1.28E-09,0.37436,8.53E-02,4.48E-15,32.111,0.55067,0.15635,30.239,3.7155,0,5.8586,3.97E-02,0,58.586,0.42728,,,
